No,Topic,Durasi
1,Introduction server,1 Pertemuan
2,Introduction GNU Linux,1 Pertemuan
3,Vagrant Virtualization,< 1 Pekan
4,Linux File Hierarchy Structure,1 Pertemuan
5,Linux Command Line,< 1 Pekan
6,Text & File Manipulation,< 1 Pekan
7,Archiving Data,1 Pertemuan
8,Users & Groups,1 Pertemuan
9,Permissions,1 Pertemuan
10,Package Managements,1 Pertemuan
11,Service Managements,1 Pertemuan
12,Setup Webserver & Applications,1 Pertemuan
13,Shell Scripting,1 Pekan
14,Membuat Automasi Setup Webserver dengan Bash,< 1 Pekan
