No,Topic,Durasi
1,Docker Introduction,1 Pertemuan
2,Docker Installation,1 Pertemuan
3,Docker Basic Command,< 1 Pekan
4,Docker Architecture,< 1 Pekan
5,Managing Container,< 1 Pekan
6,What Happen Inside Container?,< 1 Pekan
7,Container VS VM,1 Pertemuan
8,Monitoring Container,1 Pertemuan
9,Command Execution Container,1 Pertemuan
10,Whats Inside Docker Image?,< 1 Pekan
11,Docker Hub,1 Pertemuan
12,Docker Image Layer,< 1 Pekan
13,Image Tagging & Push to Docker Hub,1 Pertemuan
14,Building Image: Basic Dockerfile,1 Pekan
16,Docker Compose,1 Pekan
